CustomerID,InvoiceDate,Quantity,UnitPrice,Amount
75074,2025-02-20,9,67.19,604.71
88945,2025-08-10,7,92.13,644.91
89662,2025-05-27,3,55.41,166.23
43106,2025-01-20,4,103.21,412.84
78769,2025-04-30,1,50.03,50.03
14506,2025-05-22,2,69.16,138.32
18060,2024-08-21,4,34.95,139.8
52455,2025-04-28,1,64.69,64.69
18393,2024-09-01,1,23.06,23.06
71064,2025-02-15,3,68.25,204.75
64051,2025-07-07,6,31.05,186.3
28773,2025-08-04,1,106.3,106.3
99837,2024-10-12,10,102.62,1026.2
15231,2024-11-21,2,36.72,73.44
11272,2025-06-03,3,54.1,162.3
62098,2025-04-09,2,20.58,41.16
77325,2025-07-28,6,114.45,686.7
82412,2025-07-13,6,83.02,498.12
34490,2025-08-14,2,16.83,33.66
52868,2024-12-15,2,90.23,180.46
23935,2025-01-27,1,81.39,81.39
40044,2024-12-11,6,52.53,315.18
48017,2025-01-02,2,105.37,210.74
69127,2025-02-28,3,54.56,163.68
20109,2025-06-26,3,98.86,296.58
31382,2025-06-20,6,91.5,549.0
14349,2025-03-11,2,104.15,208.3
62361,2025-02-21,1,48.44,48.44
52276,2025-04-23,1,107.8,107.8
62180,2025-08-08,2,65.57,131.14
68560,2025-05-22,3,18.17,54.510000000000005
91549,2025-07-13,4,20.98,83.92
48758,2025-06-19,4,84.28,337.12
33542,2024-09-30,2,25.2,50.4
25183,2025-07-11,3,27.05,81.15
41969,2025-01-25,3,68.26,204.78000000000003
14050,2024-10-02,4,8.86,35.44
31796,2025-05-05,4,101.79,407.16
77858,2025-03-04,2,114.81,229.62
33731,2024-12-14,4,48.47,193.88
82412,2024-09-25,3,84.39,253.17000000000002
42352,2025-03-15,3,84.17,252.51
16940,2024-11-18,1,50.63,50.63
78059,2025-07-24,6,70.11,420.65999999999997
25785,2025-05-20,3,66.87,200.61
33545,2025-06-17,2,56.24,112.48
17344,2025-01-08,4,81.79,327.16
10816,2025-01-11,2,34.1,68.2
49332,2025-02-09,3,25.95,77.85
27646,2025-03-06,2,62.23,124.46
78832,2025-03-18,4,109.78,439.12
62805,2024-10-14,2,111.35,222.7
58117,2025-04-23,3,27.47,82.41
27156,2025-02-19,3,56.74,170.22
51385,2025-05-15,4,59.7,238.8
27829,2025-05-04,3,109.46,328.38
88215,2025-03-11,4,26.76,107.04
12821,2025-02-28,4,9.09,36.36
96704,2024-08-30,4,88.12,352.48
80320,2024-10-24,3,12.25,36.75
40382,2024-10-13,2,89.81,179.62
60332,2024-10-09,5,75.5,377.5
62098,2024-11-29,3,46.14,138.42000000000002
40752,2025-03-31,3,32.21,96.63
98853,2025-01-15,5,54.98,274.9
88270,2024-09-17,3,83.38,250.14
10154,2024-12-02,2,95.9,191.8
73502,2024-12-22,1,26.76,26.76
85067,2025-07-10,4,88.6,354.4
27070,2025-02-02,1,5.21,5.21
24012,2024-10-04,3,57.38,172.14000000000001
93044,2024-10-11,2,13.43,26.86
19464,2025-02-17,4,111.78,447.12
46265,2025-01-27,5,53.64,268.2
92703,2025-03-18,4,95.18,380.72
76024,2025-06-18,3,108.85,326.54999999999995
76971,2024-09-21,4,85.88,343.52
73126,2025-01-03,3,101.08,303.24
45783,2025-05-14,3,76.1,228.29999999999998
78194,2025-04-19,4,115.41,461.64
36783,2025-04-28,2,89.45,178.9
27156,2024-11-10,4,109.0,436.0
